reviewID,customerID,productID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,2023-12-23,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
2,80,19,2024-12-25,5,The quality is  top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
3,50,13,2025-01-26,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
4,78,15,2025-04-21,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
5,64,2,2023-07-16,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
6,81,1,2025-12-21,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
7,16,1,2024-01-29,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
8,55,8,2024-08-15,5,The quality  is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
9,3,13,2023-09-01,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
10,78,6,2024-06-17,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
11,54,9,2023-07-17,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
12,77,2,2025-01-13,2,Product did  not meet my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
13,93,6,2024-08-20,5,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
14,23,2,2025-06-16,4,"Good quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
15,29,11,2023-01-27,5,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
16,95,17,2023-01-06,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
17,88,4,2025-10-29,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
18,17,16,2024-11-23,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
19,34,13,2024-01-04,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
20,34,6,2023-04-29,1,I had a bad experience with this product.,-0.5423,Negative,Strongly Negative (-1.00 to -0.5)
21,22,15,2023-04-08,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
22,52,3,2025-10-30,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
23,69,18,2023-07-02,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
24,100,4,2025-07-18,3,"I love this  product, will buy again!",0.6696,partially positive,Strongly Postive (0.50 to 1.00)
25,55,20,2024-12-19,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
26,76,11,2024-08-21,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
27,56,6,2025-11-24,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
28,76,8,2025-05-27,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
29,38,13,2023-05-31,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
